,t,blocked mean,interleaved mean,early mean,middle mean,late mean,instructed mean,blocked stddev,interleaved stddev,early stddev,middle stddev,late stddev,instructed stddev
62,62,0.9467031164570804,0.612594752186589,0.9692226378272892,0.6538051090508904,0.6610644257703081,0.75,0.22528293405948124,0.4914423232104548,0.17435600377622146,0.4801823216373823,0.4747828924560867,0.43623217151270094
63,63,0.9391041162227604,0.6048013213957243,0.9609302325581396,0.7039951977589541,0.7023809523809524,0.6774193548387096,0.24117559929552104,0.4923640165900879,0.1914030873879068,0.4586704699023089,0.4553571255200434,0.4712798600667071
64,64,0.9062435335502924,0.6171588391268026,0.9782285997031172,0.6468531468531469,0.6864367816091954,0.7288135593220338,0.2937139926022224,0.4890154308353754,0.14601959142628956,0.4822600479527094,0.46974360163744,0.4483882428930302
65,65,0.9066958728334772,0.6248729376808195,0.9778175313059032,0.7603049124788256,0.6202020202020202,0.5901639344262295,0.2934182912137229,0.4850901392187151,0.1489487867966037,0.4306826306512385,0.48467404200986103,0.4958847036804648
66,66,0.9552893045002924,0.5773809523809523,0.9688273132112816,0.7435064935064936,0.6988536155202821,0.6753246753246753,0.20815969495925105,0.4954479215917921,0.1725767119543979,0.4416658282402048,0.4644015886296866,0.4713239594778242
67,67,0.9444009539587468,0.5392254220456802,0.9594450576637612,0.6657546739626082,0.7069757727652465,0.5625,0.2300275421477705,0.5038469002524613,0.19928765686103728,0.4755191019914885,0.4419048159191048,0.5000000000000001
68,68,0.9210526315789472,0.7163643235071806,0.9471892596952246,0.6615826034430685,0.6967901234567901,0.6493506493506493,0.2672870165658132,0.452762334148104,0.2259919336375772,0.4645646150978489,0.4654174831626025,0.4803023654629547
69,69,0.9233025560998166,0.6128364389233955,0.9903466432645898,0.7937662337662338,0.7000000000000001,0.6164383561643836,0.26269533538613504,0.4920755207554489,0.09830594541908436,0.4019016587557927,0.4613921751640547,0.4896182465934661
70,70,0.9353107344632768,0.6573225516621743,0.9611657722122838,0.7536554354736172,0.6704260651629074,0.7285714285714285,0.2476598304336253,0.4707326840116447,0.1941898294960481,0.4349235136851926,0.4751878357938589,0.4479074882299048
71,71,0.9646361666879064,0.609599395313681,0.9893410852713178,0.8102536997885835,0.6928104575163399,0.7397260273972602,0.18634905320128867,0.4907538144661506,0.1032992338176672,0.3920190487411863,0.4668117700314253,0.4418206417224695
72,72,0.9718196354333226,0.6311430750790018,0.990033222591362,0.7412400790212456,0.6366013071895424,0.6956521739130435,0.1666683555163743,0.4871761686575324,0.09977575653851116,0.442410602013228,0.4822630566493496,0.4635016284661716
73,73,0.8962797143161709,0.654832162373146,0.9772850189291508,0.6972275950999355,0.7652380952380953,0.6301369863013698,0.30746666482709795,0.4793290306459933,0.14882336591213596,0.4572409961806711,0.429238403843182,0.4861083931213426
74,74,0.9346527767278004,0.6507936507936508,0.9791172282866636,0.7825601340300768,0.6662245800176835,0.7323943661971831,0.2464719403592921,0.4794681870361579,0.14307474716126994,0.4122791025652036,0.4772594307151871,0.4458618132776515
75,75,0.9461116650049848,0.6422902494331066,0.9585910440376052,0.7345252150446956,0.6302794022092267,0.6438356164383562,0.22778596516331234,0.48159878712058396,0.20022042860591546,0.4363954803511916,0.48778958091084396,0.4821785922507987
76,76,0.9477632675743264,0.6449735449735451,0.9795865633074936,0.6949002217294901,0.6605555555555556,0.7049180327868853,0.22374626674330125,0.4812863448520981,0.1428829503079644,0.4654558266361853,0.4721996789927152,0.4598645559684563
77,77,0.9203304066295735,0.5735930735930735,0.9902325581395348,0.75,0.7051561365286856,0.6825396825396826,0.2732057826911394,0.4996937828058915,0.09877295966495896,0.4378271177078384,0.461849052787383,0.4692271210638118
78,78,0.9266792215944758,0.6747749604892461,0.9696250593260559,0.6852964131799518,0.6833333333333333,0.7571428571428571,0.2630792638509582,0.4718157690460474,0.17305653640290608,0.4642305061608816,0.4684164603014908,0.4319055950832105
79,79,0.9366636931311332,0.5656007974848555,0.959658281917418,0.7212825933756167,0.6905973242886754,0.6666666666666666,0.2454503523424603,0.4994090973979072,0.19767186509937773,0.4415972193788385,0.4621325696850908,0.4747126632775413
80,80,0.5380310367598503,0.6034221146085553,0.6476028622540251,0.3863636363636364,0.6418803418803418,0.7222222222222222,0.5025843945485228,0.4935197471220902,0.4822983141194686,0.4881811753140727,0.4811510389659301,0.4510464272103454
81,81,0.8556506750933639,0.5839506172839507,0.6167062173706692,0.5912904791623327,0.5431235431235432,0.625,0.3479864459874531,0.497526002126243,0.4908952011952202,0.4965299085789079,0.5040946072474984,0.4875203137696194
82,82,0.9088959536484884,0.6967736665849873,0.7010943912448699,0.6561983471074381,0.5620008406893652,0.6617647058823529,0.2877306347526997,0.4630231360362776,0.4607187890359671,0.4797038844837632,0.5018101398071023,0.4766266450123546
83,83,0.9275432259448286,0.5634920634920635,0.7433040036142246,0.7369146005509641,0.5698496905393458,0.6911764705882353,0.2572773116201652,0.4999413705793975,0.43967822074185664,0.43999913355935183,0.4997280197919679,0.4654432309413774
